graph_id;vertices;edges;density;variant;algorithm;total_operations_count;total_execution_time_ms;path_length
1;6;10;sparse;pure_dag;DAG-ShortestPath;65;0,043;10,50
1;6;10;sparse;pure_dag;DAG-LongestPath;102;0,145;15,80
2;8;14;sparse;one_cycle;DAG-ShortestPath;54;0,043;0,00
2;8;14;sparse;one_cycle;DAG-LongestPath;54;0,042;0,00
3;10;18;sparse;two_cycles;DAG-ShortestPath;74;0,110;5,30
3;10;18;sparse;two_cycles;DAG-LongestPath;74;0,105;5,30
4;12;21;sparse;mixed;DAG-ShortestPath;92;0,062;10,00
4;12;21;sparse;mixed;DAG-LongestPath;95;0,069;10,00
5;16;28;sparse;mixed;DAG-ShortestPath;136;0,050;17,70
5;16;28;sparse;mixed;DAG-LongestPath;166;0,062;23,50
6;20;36;sparse;mixed;DAG-ShortestPath;148;0,045;4,80
6;20;36;sparse;mixed;DAG-LongestPath;152;0,052;11,10
7;25;45;sparse;many_sccs;DAG-ShortestPath;209;0,069;34,90
7;25;45;sparse;many_sccs;DAG-LongestPath;311;0,105;39,80
8;35;63;sparse;pure_dag;DAG-ShortestPath;386;0,083;26,80
8;35;63;sparse;pure_dag;DAG-LongestPath;937;0,688;26,80
9;50;90;sparse;many_sccs;DAG-ShortestPath;361;0,105;16,80
9;50;90;sparse;many_sccs;DAG-LongestPath;401;0,126;23,50
1;6;12;dense;pure_dag;DAG-ShortestPath;79;0,041;7,00
1;6;12;dense;pure_dag;DAG-LongestPath;115;0,212;12,20
2;8;32;dense;one_cycle;DAG-ShortestPath;90;0,107;0,00
2;8;32;dense;one_cycle;DAG-LongestPath;90;0,135;0,00
3;10;41;dense;two_cycles;DAG-ShortestPath;120;0,186;8,60
3;10;41;dense;two_cycles;DAG-LongestPath;120;0,198;8,60
4;12;38;dense;mixed;DAG-ShortestPath;126;0,110;9,00
4;12;38;dense;mixed;DAG-LongestPath;129;0,168;9,00
5;16;72;dense;mixed;DAG-ShortestPath;206;0,171;11,10
5;16;72;dense;mixed;DAG-LongestPath;209;0,204;11,10
6;20;84;dense;mixed;DAG-ShortestPath;250;0,096;6,20
6;20;84;dense;mixed;DAG-LongestPath;260;0,368;12,80
7;25;108;dense;many_sccs;DAG-ShortestPath;318;0,110;9,50
7;25;108;dense;many_sccs;DAG-LongestPath;356;0,119;21,20
8;35;490;dense;pure_dag;DAG-ShortestPath;1874;0,523;4,30
8;35;490;dense;pure_dag;DAG-LongestPath;10687;3,750;37,60
9;50;456;dense;many_sccs;DAG-ShortestPath;1087;0,108;13,40
9;50;456;dense;many_sccs;DAG-LongestPath;1115;0,127;15,80
